#
# Argon (Ar) Spectral Lines
#
# NOTES: The relative intensities retrieved from NIST Atomic Spectra Database
#        were adjusted for the SALT calsys intensities OR TO GET GOOD FIT.
#        The intesity of a line in chip gap, on edge of chip gap or edge of
#        frame is set as zero. Lines with zero intensity will not be fitted.
#
# ---------------------------------------------------------------------------- #
#   Lambda   Intensity   Comment
# ---------------------------------------------------------------------------- #
#
 11000.000      0.0000   dummy line to improve first real line
#
 12029.939      0.0187   Ar
 12115.641      0.3653   Ar
 12143.060      0.1878   Ar
 12154.900      0.0122   Ar
 12346.770      0.1882   Ar
 12359.199      0.0683   Ar
 12406.221      0.6298   Ar
 12442.724      1.0000   Ar
 12459.530      0.4363   Ar
 12491.080      0.9708   Ar
 12557.759      0.0131   Ar
 12625.072      0.0173   Ar
 12641.940      0.0094   ?
 12705.756      0.3529   Ar
 12736.901      0.1141   Ar
 12749.719      0.0740   Ar
 12806.241      0.4599   Ar
 12936.733      0.1630   Ar
 12960.203      0.9875   Ar
 13011.822      0.3542   Ar
 13217.600      0.4036   Ar
 13231.725      0.3542   Ar
 13276.270      0.8011   Ar
 13305.950      0.0188   Ar
 13316.851      0.5253   Ar
 13333.830      0.0166   Ar
#
 14000.000      0.0000   dummy line to improve last real line
# ---------------------------------------------------------------------------- #
